number,name,year,venue,task,data_experiment,data_ground_truth,data_params,data_version,experiment_source_code,experiment_ref_source_code,experiment_external_source_code,experiment_exp_source_code,experiment_setup,experiment_hw,experiment_sw,experiment_results,experiment_runtime,method_problem,method_objective,method_contribution,method_workflow,method_research,method_pseudo_code,method_params,method_params_description,method_repro,data_repro,experiment_repro
26,Synthesizing Mapping Relationships Using Table Corpus,2017,SIGMOD,SMAP,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0.6666666667,0.6666666667
27,Online Entity Resolution Using an Oracle,2016,PVLDB,ER,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0.8333333333
28,Collective entity resolution in relational data,2006,TKDD,ER,,,,,,,,,,,,,,,,,,,,,,,,
29,Dedoop: Efficient Deduplication with Hadoop,2012,PVLDB,ER,,,,,,,,,,,,,,,,,,,,,,,,
30,Incremental Record Linkage,2014,PVLDB,ER,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0.8148148148
31,Magellan: Toward Building Entity Matching Management Systems,2016,PVLDB,EM,TRUE,TRUE,,,TRUE,,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,1,1,0.8571428571
32,Large-Scale Collective Entity Matching,2011,PVLDB,EM,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,1,0.8333333333,0.7962962963
33,Designing and refining schema mappings via data examples,2011,SIGMOD,SMAP,,,,,,,,,,,,,,,,,,,,,,,,
34,"Schema Mappings, Data Exchange, and Metadata Management",2005,PODS,SMAP,,,,,,,,,,,,,,,,,,,,,,,,
36,Sample-driven schema mapping,2012,SIGMOD,SMAP,,,,,,,,,,,,,,,,,,,,,,,,
